Gene	Astrocyte_Fidelity	Microglia_Fidelity	Oligodendrocyte_Fidelity	Neuron_Fidelity
ACADM	32.57288645	5.719885279	17.02473039	31.15836693
ACADVL	45.97295384	28.7323733	33.80327016	-0.3273786329
ACAT1	17.19377811	32.33392665	29.85810093	28.85012576
ACVR1	24.39088945	11.62855646	24.12997193	45.04885173
SGCA	3.274700616	7.818682579	3.056447543	-5.461091701
ADSL	-0.547792014	33.39081334	19.10756775	22.64377506
AGA	19.77313747	24.7123524	68.49989436	12.68228295
AGT	97.3324184	5.898658129	15.56119754	-11.44880483
ALAD	18.74097554	30.18882772	52.21662537	3.014894486
ALAS2	21.87309515	3.296812429	4.323359175	-3.248862378
AMPD1	-0.3364764399	-11.18401888	-12.1839563	-6.391114532
APOH	5.020931256	-4.819696467	-5.75514844	-1.645065352
FAS	45.09987372	24.64258237	17.03294405	18.8443576
AR	13.83392508	12.01209487	13.71376145	19.92544679
ARG1	5.161406229	-4.234331051	-6.629342	0.4325567409
ASL	-2.997498665	32.74841037	17.2326719	5.991956855
ASPA	12.64818807	38.39566036	123.3144757	-6.155145971
ATP7A	11.78338843	31.58260422	44.95973044	12.13918778
BCKDHB	53.29521668	15.2642388	28.43013626	19.70280417
BRCA2	6.163201013	-2.127431947	-4.048329963	-1.24370189
SERPING1	24.46964915	40.75359662	14.49459223	5.852403022
C2	-0.9289520614	58.55069871	21.98589536	3.140531531
C6	4.155739369	-0.78391339	-5.943395564	-5.875674814
C8B	-0.193625576	-6.877751785	-6.888064021	-6.997353158
CAPN3	9.379291851	39.40734448	143.9552635	-1.843801118
CD3G	0.7642578957	9.315037282	6.258964346	-5.475187423
CD40LG	0.8663548691	-6.88143567	-9.22919849	-2.738362388
CHRNA1	-6.3488806	0.6785385069	-2.477081192	7.325661037
CHRNE	-3.528678809	5.955386728	-2.824805297	-2.572423485
LYST	12.72127997	10.25883751	16.84560378	32.28843774
ERCC8	21.39598804	16.14942937	23.14323292	36.8446238
CLCN1	-1.907501479	6.609845207	-3.756242603	-5.761029442
CLCNKB	-3.304924939	4.023963236	-2.751606137	-10.29447211
COL1A2	17.55388135	9.669916693	13.15170121	7.210122486
COL7A1	-4.667968511	10.32950915	7.337343375	-25.00130385
COMP	26.9117075	5.575782873	9.454726392	-2.868055741
CP	18.67494757	30.12695492	22.0748635	-1.719255193
CPOX	9.188823263	24.50571381	75.3416665	16.68425927
CPT2	48.22020453	25.95412155	45.77199966	9.535312084
CST3	80.28250592	1.443625281	12.0029745	-6.611730466
CSTB	29.30321077	38.56878873	23.20006253	2.325450928
CYBA	8.456957343	66.07021268	19.34120014	-5.906397303
DDB2	0.9330307311	44.90985689	38.75374327	-14.32420338
DLD	8.813408736	24.58060228	19.7552241	42.20039167
DPYD	15.10148888	33.91811833	53.97956078	8.955864897
EDN3	20.3867359	10.8729385	27.18780614	13.90959632
EDNRB	96.51658832	-2.203767725	11.44591932	10.64862916
EMD	9.161693936	29.80828558	23.90354932	5.140414559
ENG	18.7607727	27.65051015	26.42944225	-1.910825728
EPB42	2.356448222	2.989503226	-2.364346381	-1.054570181
EPHX1	66.1560479	22.47384097	27.70316166	-1.686280426
EPOR	21.95901285	25.84559353	19.3147785	10.17583523
ERCC3	4.910702143	16.76482833	24.66288449	25.70309368
ETFA	34.39137777	18.95240641	16.23374188	22.24892221
F5	12.27966495	17.22794157	10.67721116	-0.898645818
F9	3.632471212	9.711482583	1.877817249	0.01220112055
FABP2	4.912097215	-7.104070319	-7.068659755	-2.369325947
FANCA	0.8929780021	26.02906935	45.29414625	10.0257984
FANCC	6.355056839	12.75165223	19.39948849	5.375130468
FAH	55.75658285	15.90083283	10.91751054	-13.72668152
MS4A2	7.793881187	-0.3759859515	-2.529567071	3.992672944
FECH	15.13248634	37.08313373	56.16031405	21.03709289
FH	9.71752772	21.73774139	22.75721095	38.32219949
FSHR	-0.09053271349	-2.26839715	-4.941340229	4.017869057
FUCA2	28.58604353	37.5878125	62.17525059	12.9558635
FUT1	-2.439941338	9.953981077	4.049718013	17.01860083
GALC	31.6609158	26.92865473	65.0896594	33.07695006
GALK1	-2.93706814	29.84359384	21.16578158	-13.86502462
GALT	10.72751001	27.22065185	21.89569518	21.10944518
GBE1	9.051481913	22.02543814	25.97226079	15.66966501
GCDH	34.69025043	27.35943705	33.23672445	-7.476033119
GCGR	-0.9288941522	2.734672819	-2.99942929	-3.85650599
GCH1	10.53355399	30.33147054	9.334293976	15.62372613
GHR	27.86836556	0.3366552286	4.515985608	30.04324812
GJA1	105.857467	-2.354030013	4.826294755	8.495306347
GJB1	2.732272934	37.24750732	125.186284	-7.753481196
GLI3	84.34761487	3.166119773	6.377965711	4.309463037
GLDC	43.46874763	-0.5281654557	-0.4275000771	8.167061248
GLRA3	9.914343081	-4.837540109	-6.703377949	47.96240187
GP1BA	1.765294377	4.040548347	-0.4591457838	-0.4524843621
GP9	-7.578030471	22.62346172	9.78474655	-6.804149071
GPI	-7.718786057	22.75375719	11.87115826	34.87274629
GSN	29.20088395	37.94588299	106.3058902	-0.4997901677
GSS	9.688996241	26.3590957	27.75096232	31.3096051
MSH6	19.72328791	33.22497296	81.64157078	10.39950477
HADHA	49.48303864	36.84398143	48.27300432	18.77072803
HADHB	80.83854581	18.27814202	44.07880765	4.335311461
HGD	10.09351048	5.16832109	1.721712647	10.90410708
HMBS	5.169789821	36.10515514	42.0285827	4.577993963
HMGCL	34.38028213	30.60694971	37.54778853	-1.710438784
TBX5	9.933882607	5.811497303	2.81266078	0.171151807
HPS1	14.63649472	30.19337703	25.34047642	26.6737448
SGSH	24.45528247	17.67948568	16.85510336	11.50681256
ICAM1	23.71786281	11.27452779	11.7777159	-0.2331912723
IDS	23.57974435	24.19830747	13.38471626	62.02090174
IDUA	2.140746619	15.99803958	9.595545924	4.13030985
CFI	22.20450246	19.38273474	11.66451767	-3.589775991
IL2RG	6.625620499	6.613958054	-1.226156508	-7.757806365
INS	1.503660266	7.012881591	1.742024358	-0.6103851156
PDX1	4.562410252	0.1938182649	-6.165400987	-1.587971053
ITGB4	47.32228319	23.38293139	20.06621548	-11.90041348
JAG1	27.91361557	19.15113279	19.6980207	26.56323376
JAK3	9.481559835	25.43180206	13.23992385	11.70210817
KCNA1	-12.70786091	2.830158181	6.822243323	35.22565278
KIT	12.58873333	0.3201221184	0.8985549268	49.11717526
KRT12	5.570111673	-7.687563256	-6.827546014	0.2238716809
LAMB3	-12.00294656	17.43051992	10.67531412	1.830758428
LEP	4.997157965	-4.041863756	-0.8842397585	-2.394554321
SGCG	-3.548815371	0.2300003353	2.348625992	5.559521596
SGCB	23.931611	19.82738067	45.13786105	28.95114979
LIG1	-0.1442143041	35.16064917	32.60718271	-5.790789696
LIPC	6.831000608	15.16882064	31.53612296	6.231180626
LPL	5.157533344	11.2374295	4.598532762	17.93232456
KCNH2	-2.624313876	19.49501919	4.999510671	29.89006014
MAOA	85.83491871	15.34928425	14.39645687	30.73236079
MET	1.335511033	17.52682024	20.71436686	36.6178026
CIITA	8.66407906	60.03935449	26.0916172	3.492122233
MLH1	8.28795713	30.21657585	46.74991787	19.40823905
MSH2	8.507636772	17.26064447	23.78911507	51.22849172
MTTP	24.26825312	7.359008128	7.888795823	5.661806847
MYBPC3	1.347226284	9.40492619	4.35507344	1.142480535
MYO7A	9.604172837	23.53668945	8.317052496	11.62689133
MYOC	3.623094564	-2.197059214	-4.43968345	-0.05297707024
NAGA	35.20607699	34.6027514	21.44130234	11.83654344
NAGLU	22.25723765	33.32196559	59.72901842	0.4196506898
PTCH1	39.76427776	-1.870376931	5.184553633	12.33591724
NDP	39.91869793	8.352239065	13.96422078	-4.023348458
NF1	29.75549771	10.47343812	25.01214701	59.36514956
PNP	46.03474459	28.32744308	18.80184263	5.498484328
NPC1	13.04113453	41.46721241	130.4540314	-1.141441754
NPHP1	32.19207818	17.01940783	11.97054963	16.3255595
GPR143	62.98988353	2.747856931	5.139320901	4.739740111
OAT	6.940266196	20.04195824	27.83353813	43.80319761
OCRL	4.730892249	10.23238865	4.512420856	50.94072408
PAH	4.447245871	9.663150303	2.476549667	12.63931491
PCCA	11.85433191	21.90193569	20.6993913	22.12086707
PDE6B	9.872846614	33.41197007	70.43802349	-5.614218735
PEPD	11.32577921	38.59593528	55.96069456	12.47620443
PEX12	36.15477105	17.46644785	32.44667039	19.14818882
PEX7	17.22197119	30.92542543	30.20592275	17.64822552
PHKA2	24.60182807	25.72353705	39.88353327	9.218054557
PHKB	16.05923236	28.37439137	33.18868192	36.09519514
PKD1	5.491099851	18.04488977	14.82829261	29.65705801
PKP1	-3.560100285	9.941051668	1.694410754	4.912997547
PLA2G2A	-3.973944494	-1.974144331	-5.900562955	-5.676061816
PLOD1	13.33520264	30.84082666	27.11005835	2.40939319
PMM2	8.67249043	27.24393808	25.7814387	14.92264636
POU1F1	4.274050448	-2.527750647	-2.228994893	5.075110366
POU3F4	29.19580698	-9.357977334	-3.702475063	12.2305124
PPOX	2.156699957	29.59015145	20.46495771	-1.1558243
PROS1	23.69590729	24.01250558	8.888656857	18.27032451
PTEN	14.3965179	20.73034703	10.06680914	59.50779426
PTH	5.198237459	-5.712576253	-4.619004076	0.3240192837
PTH1R	16.08706483	23.9058445	16.4527393	-17.7368215
PTS	-6.014479897	27.47980388	17.83373127	33.02203693
PEX2	41.5403086	32.63101716	45.26413905	32.38974578
PEX5	15.08138435	19.47939979	30.52762946	38.31011846
QDPR	15.69552008	40.21460439	94.98827786	9.832573899
RB1	20.0908833	37.27095939	33.42205539	48.72084598
PRPH2	-2.950235839	4.206184836	6.682063343	32.20681535
ROM1	32.20101246	25.66563542	41.46687374	-16.63555687
RS1	0.4408531607	3.871997386	4.128598363	7.303615672
ATXN1	13.73847839	-1.312733164	6.869219292	50.95695984
SCN4A	0.8655893841	9.289979179	2.303153063	1.133561744
SGCD	52.4128358	15.15428569	44.845078	30.29311401
SLC12A1	6.131219013	-12.40632868	-10.70756497	28.90087261
SLC12A3	5.403528455	-0.2944714883	0.8915790904	-2.156652403
SMN1	20.2278547	5.567019395	6.230704044	28.77591348
SNCA	-19.90329075	17.85688306	6.898965248	42.88058352
SOX9	92.37589594	5.339901207	13.14379035	-10.33064197
SPTB	13.18968949	14.98409735	8.575634335	49.73718913
STAR	-4.076768165	17.12893814	10.43009908	38.05117334
ABCA4	-1.156932174	-1.15399541	-4.39736742	-3.936493623
TCN2	33.32154164	20.15363606	25.06716883	-7.102431093
