Gene	Title	Authors	Year	Link	RPKM	Log2FC	P	Shared locus
CR1	Meta-analysis of genetic association with diagnosed Alzheimer's disease identifies novel risk loci and implicates Abeta, Tau, immunity and lipid processing	Brian W. Kunkle, Benjamin Grenier-Boley, Rebecca Sims, Joshua C. Bis, Adam C. Naj, Anne Boland, Maria Vronskaya, Sven J van der Lee, Alex Amlie-Wolf, Celine Bellenguez, Aura Frizatti, Vincent Chouraki, Alzheimer's Disease Genetics Consortium (ADGC), European Alzheimer's Disease Initiative (EADI), Cohorts for Heart and Aging Research in Genomic Epidemiology Consortium (CHARGE), Genetic and Environmental Risk in Alzheimer's Disease Consortium (GERAD/PERADES), Helena Schmidt, Hakon Hakonarson, Ron Munger, Reinhold Schmidt, Lindsay A. Farrer, Christine Van Broeckhoven, Michael C. O'Donovan, Anita L. Destefano, Lesley Jones, Jonathan L. Haines, Jean-Francois Deleuze, Michael J. Owen, Vilmundur Gudnason, Richard P. Mayeux, Valentina Escott-Price, Bruce M. Psaty, Agustin Ruiz, Alfredo Ramirez, Li-San Wang, Cornelia M. van Duijn, Peter A. Holmans, Sudha Seshadri, Julie Williams, Philippe Amouyel, Gerard D. Schellenberg, Jean-Charles Lambert, Margaret A. Pericak-Vance	2018	https://doi.org/10.1101/294629			3.60E-24	CD55
BIN1	Meta-analysis of genetic association with diagnosed Alzheimer's disease identifies novel risk loci and implicates Abeta, Tau, immunity and lipid processing	Brian W. Kunkle, Benjamin Grenier-Boley, Rebecca Sims, Joshua C. Bis, Adam C. Naj, Anne Boland, Maria Vronskaya, Sven J van der Lee, Alex Amlie-Wolf, Celine Bellenguez, Aura Frizatti, Vincent Chouraki, Alzheimer's Disease Genetics Consortium (ADGC), European Alzheimer's Disease Initiative (EADI), Cohorts for Heart and Aging Research in Genomic Epidemiology Consortium (CHARGE), Genetic and Environmental Risk in Alzheimer's Disease Consortium (GERAD/PERADES), Helena Schmidt, Hakon Hakonarson, Ron Munger, Reinhold Schmidt, Lindsay A. Farrer, Christine Van Broeckhoven, Michael C. O'Donovan, Anita L. Destefano, Lesley Jones, Jonathan L. Haines, Jean-Francois Deleuze, Michael J. Owen, Vilmundur Gudnason, Richard P. Mayeux, Valentina Escott-Price, Bruce M. Psaty, Agustin Ruiz, Alfredo Ramirez, Li-San Wang, Cornelia M. van Duijn, Peter A. Holmans, Sudha Seshadri, Julie Williams, Philippe Amouyel, Gerard D. Schellenberg, Jean-Charles Lambert, Margaret A. Pericak-Vance	2018	https://doi.org/10.1101/294629			2.10E-44	
INPP5D	Meta-analysis of genetic association with diagnosed Alzheimer's disease identifies novel risk loci and implicates Abeta, Tau, immunity and lipid processing	Brian W. Kunkle, Benjamin Grenier-Boley, Rebecca Sims, Joshua C. Bis, Adam C. Naj, Anne Boland, Maria Vronskaya, Sven J van der Lee, Alex Amlie-Wolf, Celine Bellenguez, Aura Frizatti, Vincent Chouraki, Alzheimer's Disease Genetics Consortium (ADGC), European Alzheimer's Disease Initiative (EADI), Cohorts for Heart and Aging Research in Genomic Epidemiology Consortium (CHARGE), Genetic and Environmental Risk in Alzheimer's Disease Consortium (GERAD/PERADES), Helena Schmidt, Hakon Hakonarson, Ron Munger, Reinhold Schmidt, Lindsay A. Farrer, Christine Van Broeckhoven, Michael C. O'Donovan, Anita L. Destefano, Lesley Jones, Jonathan L. Haines, Jean-Francois Deleuze, Michael J. Owen, Vilmundur Gudnason, Richard P. Mayeux, Valentina Escott-Price, Bruce M. Psaty, Agustin Ruiz, Alfredo Ramirez, Li-San Wang, Cornelia M. van Duijn, Peter A. Holmans, Sudha Seshadri, Julie Williams, Philippe Amouyel, Gerard D. Schellenberg, Jean-Charles Lambert, Margaret A. Pericak-Vance	2018	https://doi.org/10.1101/294629			3.40E-09	
HLA-DQB1	Meta-analysis of genetic association with diagnosed Alzheimer's disease identifies novel risk loci and implicates Abeta, Tau, immunity and lipid processing	Brian W. Kunkle, Benjamin Grenier-Boley, Rebecca Sims, Joshua C. Bis, Adam C. Naj, Anne Boland, Maria Vronskaya, Sven J van der Lee, Alex Amlie-Wolf, Celine Bellenguez, Aura Frizatti, Vincent Chouraki, Alzheimer's Disease Genetics Consortium (ADGC), European Alzheimer's Disease Initiative (EADI), Cohorts for Heart and Aging Research in Genomic Epidemiology Consortium (CHARGE), Genetic and Environmental Risk in Alzheimer's Disease Consortium (GERAD/PERADES), Helena Schmidt, Hakon Hakonarson, Ron Munger, Reinhold Schmidt, Lindsay A. Farrer, Christine Van Broeckhoven, Michael C. O'Donovan, Anita L. Destefano, Lesley Jones, Jonathan L. Haines, Jean-Francois Deleuze, Michael J. Owen, Vilmundur Gudnason, Richard P. Mayeux, Valentina Escott-Price, Bruce M. Psaty, Agustin Ruiz, Alfredo Ramirez, Li-San Wang, Cornelia M. van Duijn, Peter A. Holmans, Sudha Seshadri, Julie Williams, Philippe Amouyel, Gerard D. Schellenberg, Jean-Charles Lambert, Margaret A. Pericak-Vance	2018	https://doi.org/10.1101/294629			1.40E-11	HLA-DPA1, HLA-DRA, C4A, TNXB, PSMB9, HLA-DRB6, HLA-DRB1, HLA-DRB5, AGPAT1, AGER, HLA-DQA1, C2, BRD2, HLA-DQB2, MICB
TREM2	Meta-analysis of genetic association with diagnosed Alzheimer's disease identifies novel risk loci and implicates Abeta, Tau, immunity and lipid processing	Brian W. Kunkle, Benjamin Grenier-Boley, Rebecca Sims, Joshua C. Bis, Adam C. Naj, Anne Boland, Maria Vronskaya, Sven J van der Lee, Alex Amlie-Wolf, Celine Bellenguez, Aura Frizatti, Vincent Chouraki, Alzheimer's Disease Genetics Consortium (ADGC), European Alzheimer's Disease Initiative (EADI), Cohorts for Heart and Aging Research in Genomic Epidemiology Consortium (CHARGE), Genetic and Environmental Risk in Alzheimer's Disease Consortium (GERAD/PERADES), Helena Schmidt, Hakon Hakonarson, Ron Munger, Reinhold Schmidt, Lindsay A. Farrer, Christine Van Broeckhoven, Michael C. O'Donovan, Anita L. Destefano, Lesley Jones, Jonathan L. Haines, Jean-Francois Deleuze, Michael J. Owen, Vilmundur Gudnason, Richard P. Mayeux, Valentina Escott-Price, Bruce M. Psaty, Agustin Ruiz, Alfredo Ramirez, Li-San Wang, Cornelia M. van Duijn, Peter A. Holmans, Sudha Seshadri, Julie Williams, Philippe Amouyel, Gerard D. Schellenberg, Jean-Charles Lambert, Margaret A. Pericak-Vance	2018	https://doi.org/10.1101/294629			2.70E-15	
CD2AP	Meta-analysis of genetic association with diagnosed Alzheimer's disease identifies novel risk loci and implicates Abeta, Tau, immunity and lipid processing	Brian W. Kunkle, Benjamin Grenier-Boley, Rebecca Sims, Joshua C. Bis, Adam C. Naj, Anne Boland, Maria Vronskaya, Sven J van der Lee, Alex Amlie-Wolf, Celine Bellenguez, Aura Frizatti, Vincent Chouraki, Alzheimer's Disease Genetics Consortium (ADGC), European Alzheimer's Disease Initiative (EADI), Cohorts for Heart and Aging Research in Genomic Epidemiology Consortium (CHARGE), Genetic and Environmental Risk in Alzheimer's Disease Consortium (GERAD/PERADES), Helena Schmidt, Hakon Hakonarson, Ron Munger, Reinhold Schmidt, Lindsay A. Farrer, Christine Van Broeckhoven, Michael C. O'Donovan, Anita L. Destefano, Lesley Jones, Jonathan L. Haines, Jean-Francois Deleuze, Michael J. Owen, Vilmundur Gudnason, Richard P. Mayeux, Valentina Escott-Price, Bruce M. Psaty, Agustin Ruiz, Alfredo Ramirez, Li-San Wang, Cornelia M. van Duijn, Peter A. Holmans, Sudha Seshadri, Julie Williams, Philippe Amouyel, Gerard D. Schellenberg, Jean-Charles Lambert, Margaret A. Pericak-Vance	2018	https://doi.org/10.1101/294629			1.20E-10	
NYAP1	Meta-analysis of genetic association with diagnosed Alzheimer's disease identifies novel risk loci and implicates Abeta, Tau, immunity and lipid processing	Brian W. Kunkle, Benjamin Grenier-Boley, Rebecca Sims, Joshua C. Bis, Adam C. Naj, Anne Boland, Maria Vronskaya, Sven J van der Lee, Alex Amlie-Wolf, Celine Bellenguez, Aura Frizatti, Vincent Chouraki, Alzheimer's Disease Genetics Consortium (ADGC), European Alzheimer's Disease Initiative (EADI), Cohorts for Heart and Aging Research in Genomic Epidemiology Consortium (CHARGE), Genetic and Environmental Risk in Alzheimer's Disease Consortium (GERAD/PERADES), Helena Schmidt, Hakon Hakonarson, Ron Munger, Reinhold Schmidt, Lindsay A. Farrer, Christine Van Broeckhoven, Michael C. O'Donovan, Anita L. Destefano, Lesley Jones, Jonathan L. Haines, Jean-Francois Deleuze, Michael J. Owen, Vilmundur Gudnason, Richard P. Mayeux, Valentina Escott-Price, Bruce M. Psaty, Agustin Ruiz, Alfredo Ramirez, Li-San Wang, Cornelia M. van Duijn, Peter A. Holmans, Sudha Seshadri, Julie Williams, Philippe Amouyel, Gerard D. Schellenberg, Jean-Charles Lambert, Margaret A. Pericak-Vance	2018	https://doi.org/10.1101/294629			9.30E-10	GAL3ST4, EPHB4, PILRB, AGFG2, PILRA, GATS
EPHA1	Meta-analysis of genetic association with diagnosed Alzheimer's disease identifies novel risk loci and implicates Abeta, Tau, immunity and lipid processing	Brian W. Kunkle, Benjamin Grenier-Boley, Rebecca Sims, Joshua C. Bis, Adam C. Naj, Anne Boland, Maria Vronskaya, Sven J van der Lee, Alex Amlie-Wolf, Celine Bellenguez, Aura Frizatti, Vincent Chouraki, Alzheimer's Disease Genetics Consortium (ADGC), European Alzheimer's Disease Initiative (EADI), Cohorts for Heart and Aging Research in Genomic Epidemiology Consortium (CHARGE), Genetic and Environmental Risk in Alzheimer's Disease Consortium (GERAD/PERADES), Helena Schmidt, Hakon Hakonarson, Ron Munger, Reinhold Schmidt, Lindsay A. Farrer, Christine Van Broeckhoven, Michael C. O'Donovan, Anita L. Destefano, Lesley Jones, Jonathan L. Haines, Jean-Francois Deleuze, Michael J. Owen, Vilmundur Gudnason, Richard P. Mayeux, Valentina Escott-Price, Bruce M. Psaty, Agustin Ruiz, Alfredo Ramirez, Li-San Wang, Cornelia M. van Duijn, Peter A. Holmans, Sudha Seshadri, Julie Williams, Philippe Amouyel, Gerard D. Schellenberg, Jean-Charles Lambert, Margaret A. Pericak-Vance	2018	https://doi.org/10.1101/294629			1.30E-10	
PTK2B	Meta-analysis of genetic association with diagnosed Alzheimer's disease identifies novel risk loci and implicates Abeta, Tau, immunity and lipid processing	Brian W. Kunkle, Benjamin Grenier-Boley, Rebecca Sims, Joshua C. Bis, Adam C. Naj, Anne Boland, Maria Vronskaya, Sven J van der Lee, Alex Amlie-Wolf, Celine Bellenguez, Aura Frizatti, Vincent Chouraki, Alzheimer's Disease Genetics Consortium (ADGC), European Alzheimer's Disease Initiative (EADI), Cohorts for Heart and Aging Research in Genomic Epidemiology Consortium (CHARGE), Genetic and Environmental Risk in Alzheimer's Disease Consortium (GERAD/PERADES), Helena Schmidt, Hakon Hakonarson, Ron Munger, Reinhold Schmidt, Lindsay A. Farrer, Christine Van Broeckhoven, Michael C. O'Donovan, Anita L. Destefano, Lesley Jones, Jonathan L. Haines, Jean-Francois Deleuze, Michael J. Owen, Vilmundur Gudnason, Richard P. Mayeux, Valentina Escott-Price, Bruce M. Psaty, Agustin Ruiz, Alfredo Ramirez, Li-San Wang, Cornelia M. van Duijn, Peter A. Holmans, Sudha Seshadri, Julie Williams, Philippe Amouyel, Gerard D. Schellenberg, Jean-Charles Lambert, Margaret A. Pericak-Vance	2018	https://doi.org/10.1101/294629			6.30E-14	CLU, SCARA3
CLU	Meta-analysis of genetic association with diagnosed Alzheimer's disease identifies novel risk loci and implicates Abeta, Tau, immunity and lipid processing	Brian W. Kunkle, Benjamin Grenier-Boley, Rebecca Sims, Joshua C. Bis, Adam C. Naj, Anne Boland, Maria Vronskaya, Sven J van der Lee, Alex Amlie-Wolf, Celine Bellenguez, Aura Frizatti, Vincent Chouraki, Alzheimer's Disease Genetics Consortium (ADGC), European Alzheimer's Disease Initiative (EADI), Cohorts for Heart and Aging Research in Genomic Epidemiology Consortium (CHARGE), Genetic and Environmental Risk in Alzheimer's Disease Consortium (GERAD/PERADES), Helena Schmidt, Hakon Hakonarson, Ron Munger, Reinhold Schmidt, Lindsay A. Farrer, Christine Van Broeckhoven, Michael C. O'Donovan, Anita L. Destefano, Lesley Jones, Jonathan L. Haines, Jean-Francois Deleuze, Michael J. Owen, Vilmundur Gudnason, Richard P. Mayeux, Valentina Escott-Price, Bruce M. Psaty, Agustin Ruiz, Alfredo Ramirez, Li-San Wang, Cornelia M. van Duijn, Peter A. Holmans, Sudha Seshadri, Julie Williams, Philippe Amouyel, Gerard D. Schellenberg, Jean-Charles Lambert, Margaret A. Pericak-Vance	2018	https://doi.org/10.1101/294629			4.60E-24	PTK2B, SCARA3
