ensembl_gene_id	Gene.Symbol.x	glia.brain_logFC.x	P.Value	Gene.Symbol.y	glia.brain_logFC.y
ENSG00000002549	LAP3	2.264217123	3.6e-15	LAP3	2.26
ENSG00000002586	CD99	2.106427496	1.09e-16	CD99	2.11
ENSG00000003056	M6PR	1.276043148	5.41e-18	M6PR	1.28
ENSG00000003400	CASP10	4.0623023	4.37e-34	CASP10	4.06
ENSG00000003756	RBM5	1.311526872	2.44e-25	RBM5	1.31
ENSG00000004534	RBM6	2.017489126	4.36e-25	RBM6	2.02
ENSG00000004948	CALCR	3.584546014	8.55e-09	CALCR	3.58
ENSG00000005020	SKAP2	2.002711336	3.52e-31	SKAP2	2
ENSG00000005022	SLC25A5	-0.97161719	4.61e-15	SLC25A5	-0.97
ENSG00000005471	ABCB4	4.491659649	5.92e-24	ABCB4	4.49
ENSG00000005810	MYCBP2	-0.344001893	8.13e-06	MYCBP2	-0.34
ENSG00000005844	ITGAL	6.698233281	1.61e-23	ITGAL	6.7
ENSG00000005893	LAMP2	-0.557522534	5.03e-06	LAMP2	-0.56
ENSG00000006327	TNFRSF12A	3.575148659	2.7e-18	TNFRSF12A	3.58
ENSG00000006534	ALDH3B1	3.54575475	5.1e-25	ALDH3B1	3.55
ENSG00000006747	SCIN	5.590082402	7.22e-16	SCIN	5.59
ENSG00000007129	CEACAM21	5.344745933	8.27e-24	CEACAM21	5.34
ENSG00000007202	KIAA0100	0.617712145	8.95e-14	KIAA0100	0.62
ENSG00000008323	PLEKHG6	3.551479504	5.88e-19	PLEKHG6	3.55
ENSG00000008869	HEATR5B	0.774531037	6.11e-09	HEATR5B	0.77
ENSG00000008988	RPS20	0.349053701	0.001446386	RPS20	0.35
ENSG00000009307	CSDE1	-0.913055996	8.68e-21	CSDE1	-0.91
ENSG00000009790	TRAF3IP3	6.285400542	3.37e-34	TRAF3IP3	6.29
ENSG00000009950	MLXIPL	3.8037475	4.58e-29	MLXIPL	3.8
ENSG00000010327	STAB1	5.865239176	9.67e-28	STAB1	5.87
ENSG00000010610	CD4	5.10937033	3.04e-31	CD4	5.11
ENSG00000010671	BTK	5.870196578	1.42e-35	BTK	5.87
ENSG00000011028	MRC2	4.822096915	4.78e-28	MRC2	4.82
ENSG00000011275	RNF216	1.345465673	1.4e-28	RNF216	1.35
ENSG00000011422	PLAUR	4.78048468	1.01e-21	PLAUR	4.78
ENSG00000011600	TYROBP	5.340581183	6.47e-32	TYROBP	5.34
ENSG00000012211	PRICKLE3	3.940585937	2.33e-28	PRICKLE3	3.94
ENSG00000012223	LTF	3.868889395	7.15e-05	LTF	3.87
ENSG00000012779	ALOX5	6.15410955	1.52e-35	ALOX5	6.15
ENSG00000013275	PSMC4	0.206741605	0.054434725	PSMC4	0.21
ENSG00000013441	CLK1	1.887350833	1.73e-22	CLK1	1.89
ENSG00000014257	ACPP	5.496764006	2.42e-23	ACPP	5.5
ENSG00000015285	WAS	5.710891956	6.24e-32	WAS	5.71
ENSG00000017260	ATP2C1	0.521381578	4.11e-09	ATP2C1	0.52
ENSG00000018280	SLC11A1	6.124000441	2.31e-13	SLC11A1	6.12
ENSG00000019169	MARCO	3.678483829	1.15e-07	MARCO	3.68
ENSG00000019582	CD74	5.438889174	9.66e-27	CD74	5.44
ENSG00000020633	RUNX3	4.363404926	3.57e-17	RUNX3	4.36
ENSG00000021355	SERPINB1	3.210142007	9.71e-29	SERPINB1	3.21
ENSG00000023892	DEF6	5.948578801	2.19e-37	DEF6	5.95
ENSG00000023902	PLEKHO1	2.708399163	3.31e-34	PLEKHO1	2.71
ENSG00000025708	TYMP	6.139339854	1.43e-21	TYMP	6.14
ENSG00000026297	RNASET2	5.258509785	2.29e-35	RNASET2	5.26
ENSG00000027697	IFNGR1	3.81044119	2.74e-32	IFNGR1	3.81
ENSG00000028137	TNFRSF1B	5.446004144	5.34e-28	TNFRSF1B	5.45
ENSG00000028277	POU2F2	4.559673309	8.62e-29	POU2F2	4.56
ENSG00000029363	BCLAF1	0.008549904	0.853585347	BCLAF1	0.01
ENSG00000030582	GRN	3.274545794	3.15e-32	GRN	3.27
ENSG00000033327	GAB2	1.277489956	8.27e-13	GAB2	1.28
ENSG00000033867	SLC4A7	1.51690993	9.36e-19	SLC4A7	1.52
ENSG00000034510	TMSB10	-0.144912043	0.259241949	TMSB10	-0.14
ENSG00000035862	TIMP2	0.740511718	7.48e-08	TIMP2	0.74
ENSG00000036565	SLC18A1	4.579218169	4.34e-09	SLC18A1	4.58
ENSG00000038945	MSR1	5.301741305	1.54e-25	MSR1	5.3
ENSG00000042493	CAPG	3.601998978	3.2e-26	CAPG	3.6
ENSG00000042980	ADAM28	6.052308113	2.2e-37	ADAM28	6.05
ENSG00000043462	LCP2	4.781185668	1.24e-33	LCP2	4.78
ENSG00000044574	HSPA5	1.646683623	1.75e-15	HSPA5	1.65
ENSG00000048740	CELF2	-0.140749865	0.179829858	CELF2	-0.14
ENSG00000048828	FAM120A	0.72792212	1.27e-17	FAM120A	0.73
ENSG00000051108	HERPUD1	2.171914422	2.39e-19	HERPUD1	2.17
ENSG00000051523	CYBA	5.433199393	2.45e-30	CYBA	5.43
ENSG00000053918	KCNQ1	5.517533748	6.38e-27	KCNQ1	5.52
ENSG00000054118	THRAP3	0.443972027	2.76e-10	THRAP3	0.44
ENSG00000054219	LY75	4.630083199	5.15e-30	LY75	4.63
ENSG00000054282	SDCCAG8	1.744405029	2.61e-24	SDCCAG8	1.74
ENSG00000054611	TBC1D22A	2.930624435	1.16e-37	TBC1D22A	2.93
ENSG00000055130	CUL1	0.310013795	0.000327457	CUL1	0.31
ENSG00000055208	TAB2	1.470248404	7.27e-29	TAB2	1.47
ENSG00000055609	KMT2C	0.959264082	1.74e-20	KMT2C	0.96
ENSG00000055917	PUM2	-0.416424788	4.89e-10	PUM2	-0.42
ENSG00000057252	SOAT1	2.805444788	2.92e-32	SOAT1	2.81
ENSG00000057608	GDI2	0.467025932	8.89e-10	GDI2	0.47
ENSG00000057657	PRDM1	3.709566648	2.88e-15	PRDM1	3.71
ENSG00000058262	SEC61A1	1.260326329	9.52e-18	SEC61A1	1.26
ENSG00000058673	ZC3H11A	0.44397508	7.65e-09	ZC3H11A	0.44
ENSG00000059377	TBXAS1	5.934708388	1.64e-38	TBXAS1	5.93
ENSG00000059378	PARP12	3.337841224	1.27e-31	PARP12	3.34
ENSG00000059804	SLC2A3	1.253211418	5.09e-06	SLC2A3	1.25
ENSG00000060339	CCAR1	1.264749121	3.87e-21	CCAR1	1.26
ENSG00000060558	GNA15	3.698655416	2.85e-30	GNA15	3.7
ENSG00000062650	WAPL	0.960262036	1.67e-24	WAPL	0.96
ENSG00000062716	VMP1	1.581513039	4.35e-11	VMP1	1.58
ENSG00000063046	EIF4B	-0.334050796	0.000731632	EIF4B	-0.33
ENSG00000063244	U2AF2	1.150981447	5.41e-21	U2AF2	1.15
ENSG00000064012	CASP8	5.480009032	5.19e-38	CASP8	5.48
ENSG00000064201	TSPAN32	4.52141788	2.63e-11	TSPAN32	4.52
ENSG00000064547	LPAR2	4.29839758	2.64e-28	LPAR2	4.3
ENSG00000064607	SUGP2	0.052616084	0.541694291	SUGP2	0.05
ENSG00000064932	SBNO2	3.641489098	3.51e-22	SBNO2	3.64
ENSG00000064999	ANKS1A	1.944705763	6.26e-31	ANKS1A	1.94
ENSG00000065243	PKN2	1.663577202	7.23e-28	PKN2	1.66
ENSG00000065413	ANKRD44	3.430040045	3.1e-40	ANKRD44	3.43
ENSG00000065911	MTHFD2	3.770827556	3.15e-26	MTHFD2	3.77
ENSG00000065978	YBX1	2.107641544	7.88e-24	YBX1	2.11
ENSG00000066084	DIP2B	0.393097766	9.23e-06	DIP2B	0.39
ENSG00000066294	CD84	5.763595276	1.68e-35	CD84	5.76
ENSG00000066336	SPI1	5.957007798	1.97e-32	SPI1	5.96
ENSG00000066923	STAG3	3.840200716	1.13e-24	STAG3	3.84
ENSG00000067066	SP100	5.060104324	1.32e-35	SP100	5.06
ENSG00000067082	KLF6	2.830404576	1.26e-25	KLF6	2.83
ENSG00000067182	TNFRSF1A	3.535718067	5.04e-31	TNFRSF1A	3.54
ENSG00000067225	PKM	-1.612159093	7.81e-26	PKM	-1.61
ENSG00000067560	RHOA	0.262238263	0.007081843	RHOA	0.26
ENSG00000067798	NAV3	1.463343866	5.37e-17	NAV3	1.46
ENSG00000068305	MEF2A	1.777979923	1.6e-27	MEF2A	1.78
