Gene	Title	Authors	Year	Link	empty	empty	empty	empty
CHRD	Evaluation of gene-based family-based methods to detect novel genes associated with familial late onset Alzheimer disease	Fernández MV, Budde J, Del-Aguila JL, Ibañez L, Deming Y, Harari O, Norton J, Morris JC, Goate AM; NIA-LOAD family study group; NCRAD, Cruchaga C	2018	https://doi.org/10.3389/fnins.2018.00209				
CLCN2	Evaluation of gene-based family-based methods to detect novel genes associated with familial late onset Alzheimer disease	Fernández MV, Budde J, Del-Aguila JL, Ibañez L, Deming Y, Harari O, Norton J, Morris JC, Goate AM; NIA-LOAD family study group; NCRAD, Cruchaga C	2018	https://doi.org/10.3389/fnins.2018.00209				
MAS1L	Evaluation of gene-based family-based methods to detect novel genes associated with familial late onset Alzheimer disease	Fernández MV, Budde J, Del-Aguila JL, Ibañez L, Deming Y, Harari O, Norton J, Morris JC, Goate AM; NIA-LOAD family study group; NCRAD, Cruchaga C	2018	https://doi.org/10.3389/fnins.2018.00209				
PTK2B	Evaluation of gene-based family-based methods to detect novel genes associated with familial late onset Alzheimer disease	Fernández MV, Budde J, Del-Aguila JL, Ibañez L, Deming Y, Harari O, Norton J, Morris JC, Goate AM; NIA-LOAD family study group; NCRAD, Cruchaga C	2018	https://doi.org/10.3389/fnins.2018.00209				
CPAM	Evaluation of gene-based family-based methods to detect novel genes associated with familial late onset Alzheimer disease	Fernández MV, Budde J, Del-Aguila JL, Ibañez L, Deming Y, Harari O, Norton J, Morris JC, Goate AM; NIA-LOAD family study group; NCRAD, Cruchaga C	2018	https://doi.org/10.3389/fnins.2018.00209				
D8	Evaluation of gene-based family-based methods to detect novel genes associated with familial late onset Alzheimer disease	Fernández MV, Budde J, Del-Aguila JL, Ibañez L, Deming Y, Harari O, Norton J, Morris JC, Goate AM; NIA-LOAD family study group; NCRAD, Cruchaga C	2018	https://doi.org/10.3389/fnins.2018.00209				
NLRP9	Evaluation of gene-based family-based methods to detect novel genes associated with familial late onset Alzheimer disease	Fernández MV, Budde J, Del-Aguila JL, Ibañez L, Deming Y, Harari O, Norton J, Morris JC, Goate AM; NIA-LOAD family study group; NCRAD, Cruchaga C	2018	https://doi.org/10.3389/fnins.2018.00209				
HDLBP	Evaluation of gene-based family-based methods to detect novel genes associated with familial late onset Alzheimer disease	Fernández MV, Budde J, Del-Aguila JL, Ibañez L, Deming Y, Harari O, Norton J, Morris JC, Goate AM; NIA-LOAD family study group; NCRAD, Cruchaga C	2018	https://doi.org/10.3389/fnins.2018.00209				
SORL1	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
GRID2IP	Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease	Raghavan NS, Brickman AM, Andrews H, Manly JJ, Schupf N, Lantigua R, Wolock CJ, Kamalakaran S, Petrovski S, Tosto G, Vardarajan BN, Goldstein DB, Mayeux R; Alzheimer's Disease Sequencing Project	2018	https://doi.org/10.1002/acn3.582				
