Gene	Paper_title	Author	Year	Link	RPKM	Log2FC	P	Shared locus
APP	Interactions of pathological hallmark proteins: tubulin polymerization promoting protein/p25, beta-amyloid, and alpha-synuclein.	Oláh J	2011	https://www.ncbi.nlm.nih.gov/pubmed/21832049				
CD44	MIF allele-dependent regulation of the MIF coreceptor CD44 and role in rheumatoid arthritis.	Yoo SA	2016	https://www.ncbi.nlm.nih.gov/pubmed/27872288				
CD74	Invariant chain trimers are sequestered in the rough endoplasmic reticulum in the absence of association with HLA class II antigens.	Marks MS	1990	https://www.ncbi.nlm.nih.gov/pubmed/2391366				
COPG1	The BioPlex Network: A Systematic Exploration of the Human Interactome.	Huttlin EL	2015	https://www.ncbi.nlm.nih.gov/pubmed/26186194				
COPG1	Architecture of the human interactome defines protein communities and disease networks.	Huttlin EL	2017	https://www.ncbi.nlm.nih.gov/pubmed/28514442				
COPG2	Architecture of the human interactome defines protein communities and disease networks.	Huttlin EL	2017	https://www.ncbi.nlm.nih.gov/pubmed/28514442				
COPG2	The BioPlex Network: A Systematic Exploration of the Human Interactome.	Huttlin EL	2015	https://www.ncbi.nlm.nih.gov/pubmed/26186194				
HADHA	Toward an understanding of the protein interaction network of the human liver.	Wang J	2011	https://www.ncbi.nlm.nih.gov/pubmed/21988832				
HLA-DPB1	The BioPlex Network: A Systematic Exploration of the Human Interactome.	Huttlin EL	2015	https://www.ncbi.nlm.nih.gov/pubmed/26186194				
HLA-DQA1	Using an in situ proximity ligation assay to systematically profile endogenous protein-protein interactions in a pathway network.	Chen TC	2014	https://www.ncbi.nlm.nih.gov/pubmed/25241761				
MIF	MIF signal transduction initiated by binding to CD74.	Leng L	2003	https://www.ncbi.nlm.nih.gov/pubmed/12782713				
MIF	MIF signal transduction initiated by binding to CD74.	Leng L	2003	https://www.ncbi.nlm.nih.gov/pubmed/12782713				
LAMTOR5	Cloning and functions of the HBxAg-binding protein XBP1.	Fan W	2013	https://www.ncbi.nlm.nih.gov/pubmed/23241634				
MAP3K1	The MEKK1 PHD ubiquitinates TAB1 to activate MAPKs in response to cytokines.	Charlaftis N	2014	https://www.ncbi.nlm.nih.gov/pubmed/25260751				
TM4SF20	The BioPlex Network: A Systematic Exploration of the Human Interactome.	Huttlin EL	2015	https://www.ncbi.nlm.nih.gov/pubmed/26186194				
TM4SF20	Architecture of the human interactome defines protein communities and disease networks.	Huttlin EL	2017	https://www.ncbi.nlm.nih.gov/pubmed/28514442				
ASCC1	The BioPlex Network: A Systematic Exploration of the Human Interactome.	Huttlin EL	2015	https://www.ncbi.nlm.nih.gov/pubmed/26186194				
ASCC1	Architecture of the human interactome defines protein communities and disease networks.	Huttlin EL	2017	https://www.ncbi.nlm.nih.gov/pubmed/28514442				
C2	Phosphorylation of ATPase subunits of the 26S proteasome.	Mason GG	1998	https://www.ncbi.nlm.nih.gov/pubmed/9688553				
C5	Complement C3b interactions studied with surface plasmon resonance technique.	Jokiranta TS	2001	https://www.ncbi.nlm.nih.gov/pubmed/11367533				
CFB	Complement C3b interactions studied with surface plasmon resonance technique.	Jokiranta TS	2001	https://www.ncbi.nlm.nih.gov/pubmed/11367533				
CFH	Complement C3b interactions studied with surface plasmon resonance technique.	Jokiranta TS	2001	https://www.ncbi.nlm.nih.gov/pubmed/11367533				
CFHR5	Human factor H-related protein 5 (FHR-5). A new complement-associated protein.	McRae JL	2001	https://www.ncbi.nlm.nih.gov/pubmed/11058592				
CFP	Expression and characterisation of the thrombospondin type I repeats of human properdin.	Perdikoulis MV	2001	https://www.ncbi.nlm.nih.gov/pubmed/11513971				
CFP	Analysis of the interactions between properdin, the third component of complement (C3), and its physiological activation products.	Farries TC	1988	https://www.ncbi.nlm.nih.gov/pubmed/3421908				
ITGAX	Isolation of complement-fragment-iC3b-binding proteins by affinity chromatography. The identification of p150,95 as an iC3b-binding protein.	Micklem KJ	1985	https://www.ncbi.nlm.nih.gov/pubmed/4062888				
ITGB2	Isolation of complement-fragment-iC3b-binding proteins by affinity chromatography. The identification of p150,95 as an iC3b-binding protein.	Micklem KJ	1985	https://www.ncbi.nlm.nih.gov/pubmed/4062888				
TF	An organelle-specific protein landscape identifies novel diseases and molecular mechanisms.	Boldt K	2016	https://www.ncbi.nlm.nih.gov/pubmed/27173435				
TGM2	Toward an understanding of the protein interaction network of the human liver.	Wang J	2011	https://www.ncbi.nlm.nih.gov/pubmed/21988832				
CA8	Architecture of the human interactome defines protein communities and disease networks.	Huttlin EL	2017	https://www.ncbi.nlm.nih.gov/pubmed/28514442				
CDK15	Architecture of the human interactome defines protein communities and disease networks.	Huttlin EL	2017	https://www.ncbi.nlm.nih.gov/pubmed/28514442				
CFH	Interactions between human complement components factor H, factor I and C3b.	Soames CJ	1997	https://www.ncbi.nlm.nih.gov/pubmed/9291131				
CFHR3	Functional properties of complement factor H-related proteins FHR-3 and FHR-4: binding to the C3d region of C3b and differential regulation by heparin.	Hellwage J	1999	https://www.ncbi.nlm.nih.gov/pubmed/10622723				
CFHR4	Functional properties of complement factor H-related proteins FHR-3 and FHR-4: binding to the C3d region of C3b and differential regulation by heparin.	Hellwage J	1999	https://www.ncbi.nlm.nih.gov/pubmed/10622723				
CFI	Interactions between human complement components factor H, factor I and C3b.	Soames CJ	1997	https://www.ncbi.nlm.nih.gov/pubmed/9291131				
CFI	Dissection of CR1, factor H, membrane cofactor protein, and factor B binding and functional sites in the third complement component.	Lambris JD	1996	https://www.ncbi.nlm.nih.gov/pubmed/8648130				
CFTR	âˆ†F508 CFTR interactome remodelling promotes rescue of cystic fibrosis.	Pankow S	2015	https://www.ncbi.nlm.nih.gov/pubmed/26618866				
CPN1	Inactivation of C3a and C5a octapeptides by carboxypeptidase R and carboxypeptidase N.	Campbell WD	2002	https://www.ncbi.nlm.nih.gov/pubmed/11939578				
DDX19B	Architecture of the human interactome defines protein communities and disease networks.	Huttlin EL	2017	https://www.ncbi.nlm.nih.gov/pubmed/28514442				
DDX19B	The BioPlex Network: A Systematic Exploration of the Human Interactome.	Huttlin EL	2015	https://www.ncbi.nlm.nih.gov/pubmed/26186194				
DDX31	Architecture of the human interactome defines protein communities and disease networks.	Huttlin EL	2017	https://www.ncbi.nlm.nih.gov/pubmed/28514442				
FANCD2	Fancd2 in vivo interaction network reveals a non-canonical role in mitochondrial function.	Zhang T	2017	https://www.ncbi.nlm.nih.gov/pubmed/28378742				
FN1	Characterization of Molecules Binding to the 70K N-Terminal Region of Fibronectin by IFAST Purification Coupled with Mass Spectrometry.	Moussavi-Harami SF	2013	https://www.ncbi.nlm.nih.gov/pubmed/23750785				
GDPD1	The BioPlex Network: A Systematic Exploration of the Human Interactome.	Huttlin EL	2015	https://www.ncbi.nlm.nih.gov/pubmed/26186194				
GDPD1	Architecture of the human interactome defines protein communities and disease networks.	Huttlin EL	2017	https://www.ncbi.nlm.nih.gov/pubmed/28514442				
GJA1	Interacting Network of the Gap Junction (GJ) Protein Connexin43 (Cx43) is Modulated by Ischemia and Reperfusion in the Heart.	Martins-Marques T	2015	https://www.ncbi.nlm.nih.gov/pubmed/26316108				
HNRNPA1	hnRNPA1 couples nuclear export and translation of specific mRNAs downstream of FGF-2/S6K2 signalling.	Roy R	2014	https://www.ncbi.nlm.nih.gov/pubmed/25324306				
MAPK6	Architecture of the human interactome defines protein communities and disease networks.	Huttlin EL	2017	https://www.ncbi.nlm.nih.gov/pubmed/28514442				
MED20	Proximity biotinylation and affinity purification are complementary approaches for the interactome mapping of chromatin-associated protein complexes.	Lambert JP	2015	https://www.ncbi.nlm.nih.gov/pubmed/25281560				
MED23	Proximity biotinylation and affinity purification are complementary approaches for the interactome mapping of chromatin-associated protein complexes.	Lambert JP	2015	https://www.ncbi.nlm.nih.gov/pubmed/25281560				
MED4	Proximity biotinylation and affinity purification are complementary approaches for the interactome mapping of chromatin-associated protein complexes.	Lambert JP	2015	https://www.ncbi.nlm.nih.gov/pubmed/25281560				
NPHP1	Mapping the NPHP-JBTS-MKS protein network reveals ciliopathy disease genes and pathways.	Sang L	2011	https://www.ncbi.nlm.nih.gov/pubmed/21565611				
PDE4DIP	Architecture of the human interactome defines protein communities and disease networks.	Huttlin EL	2017	https://www.ncbi.nlm.nih.gov/pubmed/28514442				
RAD21	A cohesin-RAD21 interactome.	Panigrahi AK	2012	https://www.ncbi.nlm.nih.gov/pubmed/22145905				
SNX27	Architecture of the human interactome defines protein communities and disease networks.	Huttlin EL	2017	https://www.ncbi.nlm.nih.gov/pubmed/28514442				
ZSCAN20	Architecture of the human interactome defines protein communities and disease networks.	Huttlin EL	2017	https://www.ncbi.nlm.nih.gov/pubmed/28514442				
NTRK2	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
NOTCH2	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
SLC1A3	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
ATP1A2	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
PON2	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
PDLIM5	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
TP53BP2	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
HEPH	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
PPAP2B	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
MLC1	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
RAB31	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
GPR125	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
METTL7A	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
SLC4A4	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
BBOX1	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
BMPR1B	Variation among intact tissue samples reveals the core transcriptional features of human CNS cell classes	Kevin W. Kelley, Hiromi Nakao-Inoue, Anna V. Molofsky & Michael C. Oldham 	2018	https://www.nature.com/articles/s41593-018-0216-z				
